tweet_id,favorite_counts,retweet_counts,follower_counts,friend_counts,status_counts,language,date_time
756288534030475264,43879,17659,8794391,17,12474,en,2016-07-22 00:43:32
756275833623502848,6399,1525,8794391,17,12474,en,2016-07-21 23:53:04
755955933503782912,7310,2868,8794391,17,12474,en,2016-07-21 02:41:54
755206590534418437,16402,5347,8794391,17,12474,en,2016-07-19 01:04:16
755110668769038337,21147,11044,8794391,17,12474,en,2016-07-18 18:43:07
754874841593970688,0,7880,8794391,17,12474,en,2016-07-18 03:06:01
754856583969079297,6889,2507,8794391,17,12474,en,2016-07-18 01:53:28
754747087846248448,2586,517,8794391,17,12474,en,2016-07-17 18:38:22
754482103782404096,5275,1948,8794391,17,12474,en,2016-07-17 01:05:25
754449512966619136,3747,729,8794391,17,12474,en,2016-07-16 22:55:55
754120377874386944,7861,2352,8794391,17,12474,en,2016-07-16 01:08:03
753655901052166144,5829,2161,8794391,17,12474,en,2016-07-14 18:22:23
753420520834629632,7880,3556,8794391,17,12474,en,2016-07-14 02:47:04
753398408988139520,5742,1893,8794391,17,12474,en,2016-07-14 01:19:12
753375668877008896,7615,2313,8794391,17,12474,en,2016-07-13 23:48:51
753298634498793472,0,5678,8794391,17,12474,en,2016-07-13 18:42:44
753294487569522689,3362,1035,8794391,17,12474,en,2016-07-13 18:26:16
753039830821511168,37009,20778,8794391,17,12474,en,2016-07-13 01:34:21
753026973505581056,3913,961,8794391,17,12474,en,2016-07-13 00:43:15
752932432744185856,12599,6836,8794391,17,12474,en,2016-07-12 18:27:35
752917284578922496,6914,1568,8794391,17,12474,en,2016-07-12 17:27:23
752701944171524096,0,2843,8794391,17,12474,en,2016-07-12 03:11:42
752682090207055872,5988,1585,8794391,17,12474,en,2016-07-12 01:52:49
752660715232722944,4371,1549,8794391,17,12474,en,2016-07-12 00:27:52
752568224206688256,5479,2272,8794391,17,12474,en,2016-07-11 18:20:21
752519690950500352,7351,3426,8795056,17,12474,en,2016-07-11 15:07:30
752334515931054080,3803,1089,8794391,17,12474,en,2016-07-11 02:51:40
752309394570878976,0,16176,8794391,17,12474,en,2016-07-11 01:11:51
752173152931807232,5953,1829,8794391,17,12474,en,2016-07-10 16:10:29
751950017322246144,3049,908,8794391,17,12474,en,2016-07-10 01:23:49
751937170840121344,5178,1324,8794391,17,12474,en,2016-07-10 00:32:46
751830394383790080,5794,1935,8794391,17,12474,en,2016-07-09 17:28:29
751793661361422336,5805,2885,8794391,17,12474,en,2016-07-09 15:02:31
751598357617971201,7894,3025,8794391,17,12474,en,2016-07-09 02:06:27
751583847268179968,4378,1095,8794391,17,12474,en,2016-07-09 01:08:47
751538714308972544,5019,1256,8794391,17,12474,en,2016-07-08 22:09:27
751456908746354688,3205,994,8794391,17,12474,en,2016-07-08 16:44:23
751251247299190784,12461,5846,8794391,17,12474,en,2016-07-08 03:07:09
751205363882532864,6302,1802,8794391,17,12474,en,2016-07-08 00:04:50
751132876104687617,5048,1292,8794391,17,12474,en,2016-07-07 19:16:47
750868782890057730,4768,1352,8794391,17,12474,en,2016-07-07 01:47:22
750719632563142656,13127,5011,8794391,17,12474,en,2016-07-06 15:54:42
750506206503038976,4424,1136,8794391,17,12474,en,2016-07-06 01:46:38
750429297815552001,13122,4253,8794391,17,12474,en,2016-07-05 20:41:01
750383411068534784,4540,1145,8794391,17,12474,en,2016-07-05 17:38:41
750381685133418496,692,27,8794391,17,12474,en,2016-07-05 17:31:49
750147208377409536,3089,956,8794391,17,12474,en,2016-07-05 02:00:06
750132105863102464,3599,1289,8794391,17,12474,en,2016-07-05 01:00:05
750117059602808832,4315,1301,8794391,17,12474,en,2016-07-05 00:00:18
750101899009982464,3033,835,8794391,17,12474,en,2016-07-04 23:00:03
750086836815486976,2162,528,8794391,17,12474,en,2016-07-04 22:00:12
750071704093859840,7804,3314,8794391,17,12474,en,2016-07-04 21:00:04
750056684286914561,3149,892,8794391,17,12474,en,2016-07-04 20:00:23
750041628174217216,3168,610,8794391,17,12474,en,2016-07-04 19:00:33
750026558547456000,2712,787,8794391,17,12474,en,2016-07-04 18:00:41
750011400160841729,3236,904,8794391,17,12474,en,2016-07-04 17:00:26
749996283729883136,3059,810,8794391,17,12474,en,2016-07-04 16:00:22
749981277374128128,5098,2449,8794391,17,12474,en,2016-07-04 15:00:45
749774190421639168,4645,1308,8794391,17,12474,en,2016-07-04 01:17:51
749417653287129088,6088,1630,8794391,17,12474,en,2016-07-03 01:41:06
749403093750648834,2611,530,8794391,17,12474,eu,2016-07-03 00:43:15
749395845976588288,8517,3414,8794391,17,12474,en,2016-07-03 00:14:27
749317047558017024,5480,2219,8794391,17,12474,en,2016-07-02 19:01:20
749075273010798592,5726,2061,8794391,17,12474,en,2016-07-02 03:00:36
749064354620928000,4785,1509,8794391,17,12474,en,2016-07-02 02:17:13
749036806121881602,3082,788,8794391,17,12474,en,2016-07-02 00:27:45
748977405889503236,10718,3374,8794391,17,12474,en,2016-07-01 20:31:43
748932637671223296,5783,2227,8794391,17,12474,en,2016-07-01 17:33:49
748705597323898880,2772,943,8794391,17,12474,en,2016-07-01 02:31:39
748699167502000129,4720,1573,8794391,17,12474,en,2016-07-01 02:06:06
748692773788876800,4226,1321,8794391,17,12474,en,2016-07-01 01:40:41
748575535303884801,6034,1959,8794391,17,12474,en,2016-06-30 17:54:50
748568946752774144,2189,665,8794391,17,12474,en,2016-06-30 17:28:39
748346686624440324,5193,1221,8794391,17,12474,en,2016-06-30 02:45:28
748337862848962560,7585,4071,8794391,17,12474,en,2016-06-30 02:10:24
748324050481647620,3663,751,8794391,17,12474,en,2016-06-30 01:15:31
748307329658011649,3647,704,8794391,17,12474,en,2016-06-30 00:09:04
748220828303695873,14046,7722,8794391,17,12474,en,2016-06-29 18:25:21
747963614829678593,5738,2123,8794391,17,12474,en,2016-06-29 01:23:16
747933425676525569,6561,2515,8794391,17,12474,en,2016-06-28 23:23:19
747885874273214464,2923,966,8794391,17,12474,en,2016-06-28 20:14:22
747844099428986880,2804,745,8794391,17,12474,en,2016-06-28 17:28:22
747816857231626240,4820,1149,8794391,17,12474,en,2016-06-28 15:40:07
747651430853525504,1376,153,8794391,17,12474,en,2016-06-28 04:42:46
747648653817413632,12802,5795,8794391,17,12474,en,2016-06-28 04:31:44
747600769478692864,2310,552,8794391,17,12474,en,2016-06-28 01:21:27
747594051852075008,3656,1048,8794391,17,12474,en,2016-06-28 00:54:46
747512671126323200,5504,1595,8794391,17,12474,en,2016-06-27 19:31:23
747461612269887489,3843,1033,8794391,17,12474,en,2016-06-27 16:08:30
747439450712596480,5381,1899,8794391,17,12474,en,2016-06-27 14:40:26
747242308580548608,0,2885,8794391,17,12474,en,2016-06-27 01:37:04
747219827526344708,5228,1550,8794391,17,12474,en,2016-06-27 00:07:44
747204161125646336,3356,915,8794391,17,12474,en,2016-06-26 23:05:29
747103485104099331,9494,3932,8794391,17,12474,en,2016-06-26 16:25:26
746906459439529985,2877,294,8794391,17,12474,en,2016-06-26 03:22:31
746872823977771008,5941,2114,8794391,17,12474,en,2016-06-26 01:08:52
746818907684614144,5288,1724,8794391,17,12474,en,2016-06-25 21:34:37
746790600704425984,4833,1588,8794391,17,12474,en,2016-06-25 19:42:08
746757706116112384,9511,3877,8794391,17,12474,en,2016-06-25 17:31:25
746726898085036033,6008,1779,8794391,17,12474,en,2016-06-25 15:29:00
746542875601690625,4999,1864,8794391,17,12474,en,2016-06-25 03:17:46
746521445350707200,0,976,8794391,17,12474,en,2016-06-25 01:52:36
746507379341139972,4620,1075,8794391,17,12474,en,2016-06-25 00:56:43
746369468511756288,6143,1616,8794391,17,12474,en,2016-06-24 15:48:42
746131877086527488,6863,2179,8794391,17,12474,en,2016-06-24 00:04:36
746056683365994496,3531,803,8794391,17,12474,en,2016-06-23 19:05:49
745789745784041472,3986,1056,8794391,17,12474,en,2016-06-23 01:25:06
745712589599014916,6956,2307,8794391,17,12474,en,2016-06-22 20:18:30
745433870967832576,7026,2511,8794391,17,12474,en,2016-06-22 01:50:58
745422732645535745,8501,2419,8794391,17,12474,en,2016-06-22 01:06:43
745314880350101504,7130,2726,8794391,17,12474,en,2016-06-21 17:58:09
745074613265149952,7774,3455,8794391,17,12474,en,2016-06-21 02:03:25
745057283344719872,7203,2239,8794391,17,12474,en,2016-06-21 00:54:33
744995568523612160,2949,610,8794391,17,12474,en,2016-06-20 20:49:19
744971049620602880,7811,2656,8794391,17,12474,en,2016-06-20 19:11:53
744709971296780288,5567,1550,8794391,17,12474,en,2016-06-20 01:54:27
744334592493166593,6731,2086,8794391,17,12474,en,2016-06-19 01:02:50
744234799360020481,155062,77057,8794391,17,12474,en,2016-06-18 18:26:18
744223424764059648,1651,360,8794391,17,12474,en,2016-06-18 17:41:06
